Location Name,Location Country,Location Code,Year Range,Number of years
Lanna,Sweden,D1LANNA,1976-01-01 to 1983-04-30,7.32
Brimstone,U.K.,D2BRIMS,1980-01-01 to 1987-04-30,7.32
Vreedepeel,Netherlands,D3VREDE,1986-01-01 to 1993-04-30,7.32
Skousbo,Denmark,D4SKOUS,1979-01-01 to 1986-04-30,7.32
La Jailliere,France,D5JAILL,1972-01-01 to 1979-04-30,7.32
Thiva,Greece,D6THEBE,1980-01-01 to 1987-04-30,7.32
Weiherbach,Germany,R1NOIRR,1975-01-01 to 1994-12-31,20
Porto,Portugal,R2NOIRR,1975-01-01 to 1994-12-31,20
Bologna,Italy,R3NOIRR,1975-01-01 to 1994-12-31,20
Roujan,France,R4NOIRR,1975-01-01 to 1994-12-31,20
